# alpha	beta
0.560256881716	0.392672956269
0.56124403763	0.39160426059
0.562231193544	0.390495353719
0.563218349458	0.389358732349
0.564205505373	0.388189043918
0.565192661287	0.386981701561
0.566179817201	0.385728627942
0.567166973115	0.384420253271
0.568154129029	0.383042486253
0.569141284944	0.381607431476
0.570128440858	0.380133252669
0.571115596772	0.378609091199
0.572102752686	0.377023939441
0.5730899086	0.375359742419
0.574077064515	0.373585165299
0.575064220429	0.371720063126
0.576051376343	0.369798430133
0.577038532257	0.367801938604
0.578025688172	0.365701877017
0.579012844086	0.363445291877
0.58	0.361012664033
