# alpha	beta
0.367879441171	0.478966352628
0.368877613398	0.478966352628
0.369875785625	0.478966352628
0.370873957851	0.478966352628
0.371872130078	0.478966352628
0.372870302305	0.478966352628
0.373868474531	0.478966352628
0.374866646758	0.478966352628
0.375864818985	0.478966352628
0.376862991211	0.478966352628
0.377861163438	0.478966352628
0.378859335665	0.478966352628
0.379857507891	0.478966352628
0.380855680118	0.478966352628
0.381853852345	0.478966352628
0.382852024572	0.478966352628
0.383850196798	0.478966352628
0.384848369025	0.478966352628
0.385846541252	0.478966352628
0.386844713478	0.478966352628
0.387842885705	0.478966352628
0.388841057932	0.478966352628
0.389839230158	0.478966352628
0.390837402385	0.478966352628
0.391835574612	0.478966352628
0.392833746838	0.478966352628
0.393831919065	0.478966352628
0.394830091292	0.478966352628
0.395828263518	0.478966352628
0.396826435745	0.478966352628
0.397824607972	0.478966352628
0.398822780198	0.478966352628
0.399820952425	0.478966352628
0.400819124652	0.478966352628
0.401817296878	0.478966352628
0.402815469105	0.478966352628
0.403813641332	0.478966352628
0.404811813558	0.478966352628
0.405809985785	0.478966352628
0.406808158012	0.478966352628
0.407806330238	0.478966352628
0.408804502465	0.478966352628
0.409802674692	0.478966352628
0.410800846918	0.478966352628
0.411799019145	0.478966352628
0.412797191372	0.478966352628
0.413795363598	0.478966352628
0.414793535825	0.478966352628
0.415791708052	0.478966352628
0.416789880278	0.478966352628
0.417788052505	0.478966352628
0.418786224732	0.478966352628
0.419784396958	0.478966352628
0.420782569185	0.478966352628
0.421780741412	0.478966352628
0.422778913638	0.478966352628
0.423777085865	0.478966352628
0.424775258092	0.478966352628
0.425773430318	0.478966352628
0.426771602545	0.478966352628
0.427769774772	0.478966352628
0.428767946998	0.478966352628
0.429766119225	0.478966352628
0.430764291452	0.478966352628
0.431762463678	0.478966352628
0.432760635905	0.478966352628
0.433758808132	0.478966352628
0.434756980358	0.478966352628
0.435755152585	0.478966352628
0.436753324812	0.478966352628
0.437751497038	0.478966352628
0.438749669265	0.478966352628
0.439747841492	0.478966352628
0.440746013718	0.478966352628
0.441744185945	0.478966352628
0.442742358172	0.478966352628
0.443740530398	0.478966352628
0.444738702625	0.478966352628
0.445736874852	0.478966352628
0.446735047078	0.478966352628
0.447733219305	0.478966352628
0.448731391532	0.478966352628
0.449729563758	0.478966352628
0.450727735985	0.478966352628
0.451725908212	0.478966352628
0.452724080439	0.478966352628
0.453722252665	0.478966352628
0.454720424892	0.478966352628
0.455718597119	0.478966352628
0.456716769345	0.478966352628
0.457714941572	0.478966352628
0.458713113799	0.478966352628
0.459711286025	0.478966352628
0.460709458252	0.478966352628
0.461707630479	0.478966352628
0.462705802705	0.478966352628
0.463703974932	0.478966352628
0.464702147159	0.478966352628
0.465700319385	0.478966352628
0.466698491612	0.478966352628
0.467696663839	0.478966352628
0.468694836065	0.478966352628
0.469693008292	0.478966352628
0.470691180519	0.478966352628
0.471689352745	0.478966352628
0.472687524972	0.478966352628
0.473685697199	0.478966352628
0.474683869425	0.478966352628
0.475682041652	0.478966352628
0.476680213879	0.478966352628
0.477678386105	0.478966352628
0.478676558332	0.478966352628
0.479674730559	0.478770565206
0.480672902785	0.478491998226
0.481671075012	0.478209359579
0.482669247239	0.477924238855
0.483667419465	0.477635250988
0.484665591692	0.477345208861
0.485663763919	0.477053095006
0.486661936145	0.476756751554
0.487660108372	0.476458496736
0.488658280599	0.476158994346
0.489656452825	0.475854525839
0.490654625052	0.475546769981
0.491652797279	0.475237821954
0.492650969505	0.474925809192
0.493649141732	0.474609350143
0.494647313959	0.4742906634
0.495645486185	0.473968312441
0.496643658412	0.473640031199
0.497641830639	0.473304318776
0.498640002865	0.472965171941
0.499638175092	0.472623227085
0.500636347319	0.472274804677
0.501634519545	0.471923761368
0.502632691772	0.471568034067
0.503630863999	0.471208084339
0.504629036225	0.470844371618
0.505627208452	0.470475083994
0.506625380679	0.470100495318
0.507623552905	0.46972126333
0.508621725132	0.469336753153
0.509619897359	0.468948002301
0.510618069585	0.468551573698
0.511616241812	0.468148076576
0.512614414039	0.467737897427
0.513612586265	0.46732518112
0.514610758492	0.466904592042
0.515608930719	0.466477299337
0.516607102945	0.466046263723
0.517605275172	0.465611177551
0.518603447399	0.465168801247
0.519601619625	0.464716380558
0.520599791852	0.464259468872
0.521597964079	0.463794277692
0.522596136305	0.463319072181
0.523594308532	0.462838749962
0.524592480759	0.462349491079
0.525590652986	0.461856042829
