# λ α β
0.000000000000 0.000000000000 0.409202408229
0.010000000000 0.409202408239 0.409202408239
0.020000000000 0.409202403297 0.409202403297
0.030000000000 0.409202408239 0.409202408239
0.040000000000 0.409202408237 0.409202408237
0.050000000000 0.409202408239 0.409202408239
0.060000000000 0.421609986805 0.408464702597
0.070000000000 0.435005145774 0.407535686703
0.080000000000 0.445493422718 0.406730056693
0.090000000000 0.454558784772 0.405890117367
0.100000000000 0.462637367777 0.405043800180
0.110000000000 0.469368320130 0.404252509797
0.120000000000 0.475487448974 0.403457997269
0.130000000000 0.480407185316 0.402756082260
0.140000000000 0.485726279834 0.401926828554
0.150000000000 0.490048368855 0.401193504483
0.160000000000 0.493674694723 0.400501389487
0.170000000000 0.497732242795 0.399726118048
0.180000000000 0.501347468582 0.398933830668
0.190000000000 0.504226452135 0.398305777827
0.200000000000 0.506776928072 0.397688464646
0.210000000000 0.510063668888 0.396840932773
0.220000000000 0.512884842376 0.396068894992
0.230000000000 0.515290040665 0.395370822425
0.240000000000 0.517365283574 0.394733537321
0.250000000000 0.519137577569 0.394158576208
0.260000000000 0.521689283556 0.393284785036
0.270000000000 0.524135761550 0.392403575300
0.280000000000 0.526142576005 0.391642394835
0.290000000000 0.527774371649 0.390992157595
0.300000000000 0.529259630391 0.390371176490
0.310000000000 0.530512070827 0.389821765180
0.320000000000 0.532347545465 0.388973614768
0.330000000000 0.534592344929 0.387893275117
0.340000000000 0.536388721344 0.386988455735
0.350000000000 0.537886635721 0.386188627889
0.360000000000 0.539108376524 0.385526700555
0.370000000000 0.540133562778 0.384937461422
0.380000000000 0.541020844633 0.384405350733
0.390000000000 0.541775125211 0.383933452392
0.400000000000 0.543880921887 0.382547026852
0.410000000000 0.545860831033 0.381201388048
0.420000000000 0.547340340951 0.380153077929
0.430000000000 0.548508883112 0.379290059739
0.440000000000 0.549426585914 0.378590449596
0.450000000000 0.550161647847 0.377995199676
0.460000000000 0.550774818548 0.377483699914
0.470000000000 0.551277346461 0.377048977592
0.480000000000 0.551948032233 0.376437064435
0.490000000000 0.554516699197 0.374026517392
0.500000000000 0.556225743037 0.372348665912
0.510000000000 0.557384485670 0.371167492034
0.520000000000 0.558206603643 0.370299319067
0.530000000000 0.558835910115 0.369600694858
0.540000000000 0.559314689326 0.36905025117
0.550000000000 0.559687578860 0.368603851042
0.560000000000 0.559984241773 0.368237414827
0.570000000000 0.560230510901 0.367914443281
0.580000000000 0.563314882138 0.363748628047
0.590000000000 0.564883762941 0.361541052278
0.600000000000 0.565783033850 0.360221931053
0.610000000000 0.566368533986 0.359326222822
0.620000000000 0.566761236138 0.358699507532
0.630000000000 0.567047251253 0.358223299088
0.640000000000 0.567261690341 0.357854110252
0.650000000000 0.567426776046 0.357550835571
0.660000000000 0.568777407957 0.354945792830
0.670000000000 0.571412033908 0.349739846178
0.680000000000 0.572352968883 0.347790337915
0.690000000000 0.572824516821 0.346766918262
0.700000000000 0.573109627602 0.346118827128
0.710000000000 0.573298920536 0.345666750594
0.720000000000 0.573431457368 0.345334636607
0.730000000000 0.573528193088 0.345079867107
0.740000000000 0.575886401247 0.338440793287
0.750000000000 0.577493580580 0.333778099589
0.760000000000 0.577942751423 0.332398850884
0.770000000000 0.578161157043 0.331689734110
0.780000000000 0.578288118253 0.331253307190
0.790000000000 0.578370753561 0.330952122055
0.800000000000 0.578428295815 0.330729310155
0.810000000000 0.581399256604 0.318428815749
0.820000000000 0.581910309954 0.316194351602
0.830000000000 0.582077376203 0.315410081322
0.840000000000 0.582161068739 0.314987817809
0.850000000000 0.582210945117 0.314716573636
0.860000000000 0.583770670862 0.305184377654
0.870000000000 0.584884969304 0.298201969504
0.880000000000 0.585009579024 0.297336090557
0.890000000000 0.585061736000 0.296936650678
0.900000000000 0.585089726666 0.296698982467
0.910000000000 0.587014821214 0.278568004896
0.920000000000 0.587109498600 0.277563186092
0.930000000000 0.587140225545 0.277187451842
0.940000000000 0.588438059586 0.257738192564
0.950000000000 0.588530465738 0.256201144851
0.960000000000 0.588548264495 0.255829591520
0.970000000000 0.589421432235 0.233409182963
0.980000000000 0.589894008498 0.210948078385
0.990000000000 0.589935469061 0.208669956570
1.000000000000 0.590302720023 0.000000000000
