# alpha	beta
0.560256881716	0.367879446471
0.56124403763	0.366562591894
0.562231193544	0.365231523092
0.563218349458	0.363881837462
0.564205505373	0.362506637593
0.565192661287	0.361093884509
0.566179817201	0.359619143942
0.567166973115	0.358017167021
0.568154129029	0.35615264685
0.569141284944	0.354237961023
0.570128440858	0.352303611077
0.571115596772	0.350338477195
0.572102752686	0.348317785673
0.5730899086	0.346164348964
0.574077064515	0.343545149995
0.575064220429	0.340769342963
0.576051376343	0.337970610136
0.577038532257	0.335124546307
0.578025688172	0.332134065822
0.579012844086	0.32833192733
0.58	0.324268764532
