# α β
0.000000000000 0.409202408229
0.409202408239 0.409202408239
0.462637367777 0.405043800180
0.490048368855 0.401193504483
0.506776928072 0.397688464646
0.519137577569 0.394158576208
0.529259630391 0.390371176490
0.537886635721 0.386188627889
0.543880921887 0.382547026852
0.550161647847 0.377995199676
0.556225743037 0.372348665912
0.559687578860 0.368603851042
0.565783033850 0.360221931053
0.567426776046 0.357550835571
0.573109627602 0.346118827128
0.577493580580 0.333778099589
0.578428295815 0.330729310155
0.582210945117 0.314716573636
0.585089726666 0.296698982467
0.588530465738 0.256201144851
0.590302720023 0.000000000000
