# α β
0.690809158325 0.010000000000
0.690310885429 0.015012390000
0.689769740105 0.020024770000
0.689192391396 0.025037160000
0.688580744743 0.030049550000
0.687936705589 0.035061930000
0.687262179375 0.040074320000
0.686559071541 0.045086710000
0.685827382088 0.050099090000
0.685068063736 0.055111480000
0.684281116486 0.060123860000
0.683466540337 0.065136250000
0.682624335289 0.070148640000
0.681755454063 0.075161020000
0.680859896660 0.080173410000
0.679936710358 0.085185800000
0.678984942436 0.090198180000
0.678006498337 0.095210570000
0.676999472618 0.100222960000
0.675964818001 0.105235340000
0.674900629044 0.110247730000
0.673806905746 0.115260120000
0.672683648109 0.120272500000
0.671529903412 0.125284890000
0.670344718933 0.130297280000
0.669128094673 0.135309660000
0.667879077911 0.140322050000
0.666596715927 0.145334440000
0.665280056000 0.150346820000
0.663928145409 0.155359210000
0.662540031433 0.160371590000
0.661114761353 0.165383980000
0.659650429726 0.170396370000
0.658146083832 0.175408750000
0.656598865509 0.180421140000
0.655008774757 0.185433530000
0.653371047974 0.190445910000
0.651684732437 0.195458300000
0.649946017265 0.200470690000
0.648150138855 0.205483070000
0.646293286324 0.210495460000
0.644369743347 0.215507850000
0.642373793602 0.220520230000
0.640297815323 0.225532620000
0.638132281303 0.230545010000
0.635868617058 0.235557390000
0.633494437218 0.240569780000
0.630998309135 0.245582170000
0.628364989281 0.250594550000
0.625577328682 0.255606940000
0.622617225647 0.260619320000
0.619462767601 0.265631710000
0.616092041969 0.270644100000
0.612474561691 0.275656480000
0.608581745148 0.280668870000
0.604377388954 0.285681260000
0.599819573402 0.290693640000
0.594860662460 0.295706030000
0.589445398331 0.300718420000
0.583506137848 0.305730800000
0.576964757919 0.310743190000
0.569721222878 0.315755580000
0.561653584480 0.320767960000
0.552607501984 0.325780350000
0.542376235008 0.330792740000
0.530681589127 0.335805120000
0.517123421669 0.340817510000
0.501100565910 0.345829900000
0.481616476059 0.350842280000
0.456803819656 0.355854670000
0.422264838219 0.360867050000
0.359786371231 0.365879440000
